age,job,contact,duration,y
44.0,blue-collar,cellular,210.0,0
53.0,technician,cellular,138.0,0
28.0,management,cellular,339.0,1
39.0,services,cellular,185.0,0
55.0,retired,cellular,137.0,1
30.0,management,cellular,68.0,0
37.0,blue-collar,cellular,204.0,0
39.0,blue-collar,cellular,191.0,0
36.0,admin.,cellular,174.0,1
27.0,blue-collar,cellular,191.0,0
34.0,housemaid,telephone,62.0,0
41.0,management,cellular,789.0,0
55.0,management,cellular,372.0,1
33.0,services,cellular,75.0,0
26.0,admin.,telephone,1021.0,0
52.0,services,cellular,117.0,0
35.0,services,cellular,1034.0,1
27.0,admin.,telephone,540.0,1
28.0,blue-collar,telephone,140.0,0
26.0,unemployed,cellular,104.0,0
41.0,unemployed,telephone,246.0,0
35.0,blue-collar,telephone,1114.0,0
40.0,admin.,telephone,340.0,0
32.0,technician,cellular,35.0,0
41.0,blue-collar,cellular,241.0,0
34.0,entrepreneur,cellular,168.0,0
49.0,technician,cellular,81.0,0
37.0,admin.,cellular,226.0,0
35.0,blue-collar,cellular,746.0,0
38.0,blue-collar,telephone,41.0,0
47.0,services,telephone,115.0,0
46.0,admin.,cellular,227.0,0
27.0,technician,cellular,275.0,0
29.0,technician,cellular,365.0,1
32.0,services,cellular,68.0,0
36.0,blue-collar,cellular,54.0,0
29.0,blue-collar,cellular,93.0,0
47.0,technician,cellular,267.0,0
44.0,blue-collar,telephone,17.0,0
54.0,management,cellular,121.0,0
36.0,blue-collar,telephone,294.0,0
42.0,blue-collar,telephone,24.0,0
44.0,blue-collar,cellular,345.0,0
72.0,retired,cellular,244.0,1
48.0,blue-collar,cellular,213.0,0
36.0,management,cellular,371.0,0
35.0,housemaid,cellular,87.0,0
43.0,entrepreneur,cellular,195.0,0
56.0,retired,cellular,102.0,0
42.0,blue-collar,telephone,93.0,0
31.0,admin.,cellular,244.0,0
32.0,technician,telephone,52.0,0
33.0,blue-collar,cellular,164.0,0
31.0,blue-collar,telephone,91.0,0
39.0,management,telephone,68.0,0
30.0,blue-collar,telephone,122.0,0
24.0,management,cellular,45.0,0
24.0,admin.,telephone,61.0,0
38.0,blue-collar,telephone,162.0,0
26.0,blue-collar,telephone,126.0,0
41.0,technician,telephone,92.0,0
34.0,admin.,cellular,329.0,0
30.0,management,cellular,116.0,1
37.0,admin.,cellular,450.0,0
68.0,retired,cellular,665.0,0
31.0,admin.,cellular,168.0,0
48.0,technician,cellular,132.0,0
33.0,technician,telephone,349.0,0
59.0,self-employed,telephone,249.0,0
44.0,blue-collar,telephone,336.0,0
28.0,unknown,telephone,169.0,0
50.0,management,cellular,89.0,0
33.0,entrepreneur,cellular,55.0,0
45.0,services,telephone,221.0,0
40.0,management,cellular,77.0,0
45.0,services,telephone,64.0,0
43.0,technician,telephone,62.0,0
54.0,blue-collar,telephone,198.0,0
53.0,technician,telephone,249.0,0
35.0,self-employed,cellular,106.0,0
30.0,technician,cellular,445.0,0
25.0,technician,telephone,149.0,0
35.0,services,cellular,66.0,0
54.0,admin.,cellular,415.0,1
30.0,blue-collar,cellular,173.0,0
38.0,admin.,cellular,173.0,0
35.0,admin.,cellular,86.0,0
47.0,blue-collar,telephone,131.0,0
32.0,blue-collar,cellular,523.0,0
27.0,blue-collar,telephone,383.0,0
40.0,blue-collar,telephone,160.0,1
31.0,admin.,telephone,220.0,0
42.0,blue-collar,cellular,20.0,0
40.0,blue-collar,cellular,160.0,0
31.0,admin.,cellular,79.0,0
57.0,technician,telephone,243.0,0
38.0,admin.,cellular,882.0,1
39.0,services,telephone,5.0,0
37.0,admin.,telephone,354.0,0
50.0,unemployed,cellular,225.0,0
33.0,blue-collar,cellular,460.0,1
41.0,blue-collar,telephone,202.0,0
37.0,entrepreneur,telephone,71.0,0
25.0,student,cellular,54.0,0
35.0,admin.,cellular,451.0,0
46.0,management,cellular,662.0,1
29.0,admin.,telephone,187.0,0
35.0,admin.,cellular,82.0,0
48.0,entrepreneur,cellular,606.0,0
31.0,self-employed,cellular,76.0,0
